page_url,api_url,brand_id,brand_name,corp_name,category_large,category_middle,year,startup_cost_만원,franchise_fee_만원,education_fee_만원,deposit_만원,other_cost_만원,avg_sales_만원,avg_sales_per_area_만원,store_count,new_store_count,contract_end_count,contract_cancel_count,name_change_count,closure_rate_percent,interior_area_평,interior_cost_min_만원,interior_cost_max_만원,interior_cost_mid_만원,business_start_date,business_years,store_count_percentile,avg_sales_percentile,total_cost_percentile,industry_avg_sales_만원,industry_avg_total_cost_만원
https://jshj.net/brands/%EC%B9%98%EA%B5%90%EC%B9%98%ED%82%A8-BRD_20200505,https://api.jshj.net/api/brands/BRD_20200505,BRD_20200505,치교치킨,(주)아이언가이즈,외식,치킨,,,,,,,,,,,,,,,15,14000,16000,15000,20200425,,32,100,22,114849,59899
https://jshj.net/brands/%EB%98%90%EB%98%90%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20191037,https://api.jshj.net/api/brands/BRD_20191037,BRD_20191037,또또닭강정,(주)홈앤치킨,외식,치킨,2023,17200,1100,1100,1000,14000,169242,24822,22,4,6,0,2,27.27,5,5200,5800,5500,20191010,4년 7개월,32,55,3,114849,59899
https://jshj.net/brands/%EA%BC%AC%EA%BC%AC%EC%95%84%EC%B0%8C-BRD_20190976,https://api.jshj.net/api/brands/BRD_20190976,BRD_20190976,꼬꼬아찌,(주)세경에프앤비,외식,치킨,2023,42410,5500,3300,3300,30310,113687,4326,37,2,0,10,5,27.03,30,20000,23000,21500,19630805,24년 5개월,32,74,35,114849,59899
https://jshj.net/brands/%EC%88%98%EC%85%B0%ED%94%84%EC%B9%98%ED%82%A8-BRD_20210651,https://api.jshj.net/api/brands/BRD_20210651,BRD_20210651,수셰프치킨,(주)정인,외식,치킨,2023,34380,11000,660,0,22720,17936,1103,25,14,0,5,3,20,5,0,0,0,20200810,3년 9개월,32,98,19,114849,59899
https://jshj.net/brands/%EA%B2%BD%EB%91%90%EC%B9%98-BRD_20240426,https://api.jshj.net/api/brands/BRD_20240426,BRD_20240426,경두치,(주)위캔두잇,외식,치킨,2024,25800,2200,1100,1000,21500,0,0,0,0,0,0,0,,,,,,None,0년 0개월,32,81,7,114849,59899
https://jshj.net/brands/%EC%9E%A5%ED%84%B0%EC%98%9B%EB%82%A0%ED%86%B5%EB%8B%AD-BRD_20210576,https://api.jshj.net/api/brands/BRD_20210576,BRD_20210576,장터옛날통닭,(주)계주,외식,치킨,2023,34020,2750,550,3000,27720,75887,4324,24,1,0,2,5,8.33,10,13000,15000,14000,20161219,7년 5개월,34,54,19,114849,59899
https://jshj.net/brands/%EB%B0%A5%EC%97%90%ED%81%90%20%EC%B9%98%ED%82%A8-BRD_20230869,https://api.jshj.net/api/brands/BRD_20230869,BRD_20230869,밥에큐 치킨,(주)모아드림에프앤비,외식,치킨,2024,116600,3300,2200,0,111100,0,0,17,17,0,0,0,0,30,78000,87000,82500,20230105,2년 2개월,34,100,95,114849,59899
https://jshj.net/brands/%EC%9B%B0%EB%8D%A4%EC%B9%98%ED%82%A8-BRD_20180406,https://api.jshj.net/api/brands/BRD_20180406,BRD_20180406,웰덤치킨,(주)푸디노에프앤디,외식,치킨,2023,34550,3300,1650,1000,28600,96630,6576,42,0,0,25,5,59.52,,,,,20180510,6년 0개월,34,93,20,114849,59899
https://jshj.net/brands/%EB%AA%BB%EB%A7%90%EB%A6%AC%EB%8A%94%ED%8C%8C%EB%8B%AD-BRD_20120100595,https://api.jshj.net/api/brands/BRD_20120100595,BRD_20120100595,못말리는파닭,그레이스티엔에프(주),외식,치킨,,,,,,,,,,,,,,,10,18000,21000,19500,20070609,,34,87,42,114849,59899
https://jshj.net/brands/%EC%82%AC%EC%BF%A0%EC%82%AC%EC%BF%A0-BRD_20120100339,https://api.jshj.net/api/brands/BRD_20120100339,BRD_20120100339,사쿠사쿠,(주)계미락,외식,치킨,2023,44490,3300,2200,3000,35990,244252,11497,30,2,1,1,3,6.67,15,20000,23000,21500,20120705,11년 10개월,34,46,39,114849,59899
https://jshj.net/brands/%EC%A1%B0%EC%84%A0%EC%9D%98%20%EC%98%9B%EB%82%A0%ED%86%B5%EB%8B%AD-BRD_20160173,https://api.jshj.net/api/brands/BRD_20160173,BRD_20160173,조선의 옛날통닭,제이에프앤씨,외식,치킨,2023,44030,5500,550,3000,34980,104591,5205,31,3,2,0,3,6.45,8,16000,18000,17000,20140701,9년 10개월,34,80,38,114849,59899
https://jshj.net/brands/%EB%91%90%EB%A6%AC%EC%95%84-BRD_20080200002,https://api.jshj.net/api/brands/BRD_20080200002,BRD_20080200002,두리아,(주)두리아,외식,치킨,2023,63490,5500,2200,2000,53790,140652,7919,25,2,0,4,0,16,20,27000,30000,28500,20000801,23년 9개월,34,87,68,114849,59899
https://jshj.net/brands/%EC%A0%95%EC%84%9D%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20220919,https://api.jshj.net/api/brands/BRD_20220919,BRD_20220919,정석닭강정,(주)정석닭강정,외식,치킨,2023,48000,5500,3300,1200,38000,0,0,6,6,0,0,0,0,10,14000,16000,15000,20221001,1년 7개월,35,68,46,114849,59899
https://jshj.net/brands/%EC%98%9B%EB%82%A0%EC%9E%A5%ED%84%B0%EC%B9%98%ED%82%A8-BRD_20120100376,https://api.jshj.net/api/brands/BRD_20120100376,BRD_20120100376,옛날장터치킨,(주)씨드트리,외식,치킨,2023,28390,2200,2200,1000,22990,87513,6323,33,0,0,4,2,12.12,15,15000,17000,16000,20110111,13년 4개월,35,86,9,114849,59899
https://jshj.net/brands/%ED%88%AC%EA%B0%80%EC%9D%B4%EC%A6%88(TWO%20GUYS)-BRD_20181303,https://api.jshj.net/api/brands/BRD_20181303,BRD_20181303,투가이즈(TWO GUYS),(주)티지컴퍼니,외식,치킨,2023,47630,5500,5500,0,36630,251269,12360,34,8,2,6,2,23.53,10,13000,15000,14000,20160108,8년 4개월,35,34,45,114849,59899
https://jshj.net/brands/%EA%B3%84%ED%98%81%EB%AA%85-BRD_20230114,https://api.jshj.net/api/brands/BRD_20230114,BRD_20230114,계혁명,(주)지니푸드,외식,치킨,2025,,,,,,134910,13491,22,17,0,5,2,22.73,20,31000,35000,33000,None,,35,66,58,114849,59899
https://jshj.net/brands/%EC%9D%B4%EB%82%98%EB%8B%AD%EA%B0%95%EC%A0%95-BRD_20211538,https://api.jshj.net/api/brands/BRD_20211538,BRD_20211538,이나닭강정,이나푸드,외식,치킨,2023,59100,5500,3300,3000,47300,247817,22560,8,1,0,1,0,12.5,10,20000,23000,21500,20210323,3년 2개월,36,62,65,114849,59899
