brand_name,corp_name,year,startup_cost_만원,avg_sales_만원,store_count,closure_rate_percent,new_store_count,contract_end_count,contract_cancel_count,business_years,page_url
배무치숯불두마리치킨,(주)세현에프앤비,2023,5500,0,0,,0,0,0,0년 0개월,https://jshj.net/brands/%EB%B0%B0%EB%AC%B4%EC%B9%98%EC%88%AF%EB%B6%88%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20230132
스모프치킨,㈜스모프,2023,40600,0,0,,0,0,0,0년 0개월,https://jshj.net/brands/%EC%8A%A4%EB%AA%A8%ED%94%84%EC%B9%98%ED%82%A8-BRD_20230021
아웃닭,(주)테즈,2023,101400,408639,60,3.33,0,2,0,13년 7개월,https://jshj.net/brands/%EC%95%84%EC%9B%83%EB%8B%AD-BRD_20110300082
남썬치킨,(주)하하호호푸드,2024,44550,148865,93,11.83,22,11,0,2년 5개월,https://jshj.net/brands/%EB%82%A8%EC%8D%AC%EC%B9%98%ED%82%A8-BRD_20221049
국제통닭,(주)국제에프씨,2023,47465,227423,59,18.64,5,5,6,7년 2개월,https://jshj.net/brands/%EA%B5%AD%EC%A0%9C%ED%86%B5%EB%8B%AD-BRD_20170519
오븐에빠진닭,(주)에땅,2023,105590,321424,70,15.71,3,0,11,15년 10개월,https://jshj.net/brands/%EC%98%A4%EB%B8%90%EC%97%90%EB%B9%A0%EC%A7%84%EB%8B%AD-BRD_20080100034
영계소문옛날통닭,농업회사법인영계소문(주),2023,38300,0,0,,4,0,5,3년 4개월,https://jshj.net/brands/%EC%98%81%EA%B3%84%EC%86%8C%EB%AC%B8%EC%98%9B%EB%82%A0%ED%86%B5%EB%8B%AD-BRD_20211115
전설의치킨,(주)시원전설의푸드,2023,50950,157249,57,28.07,7,16,0,14년 2개월,https://jshj.net/brands/%EC%A0%84%EC%84%A4%EC%9D%98%EC%B9%98%ED%82%A8-BRD_20110100524
미쳐버린파닭,(주)수정,2023,28100,117607,69,7.25,4,0,5,17년 3개월,https://jshj.net/brands/%EB%AF%B8%EC%B3%90%EB%B2%84%EB%A6%B0%ED%8C%8C%EB%8B%AD-BRD_20100600055
봉이치킨,(주)봉이에프엔씨,2023,25300,35311,54,12.96,0,7,0,12년 4개월,https://jshj.net/brands/%EB%B4%89%EC%9D%B4%EC%B9%98%ED%82%A8-BRD_20120100629
계림원누릉지통닭구이,(주)동천에프앤비,2023,93050,210575,52,11.54,8,0,6,11년 2개월,https://jshj.net/brands/%EA%B3%84%EB%A6%BC%EC%9B%90%EB%88%84%EB%A6%89%EC%A7%80%ED%86%B5%EB%8B%AD%EA%B5%AC%EC%9D%B4-BRD_20140218
테트리스찜닭,(주)선일에프앤비,2023,13100,124258,89,49.44,8,11,33,7년 6개월,https://jshj.net/brands/%ED%85%8C%ED%8A%B8%EB%A6%AC%EC%8A%A4%EC%B0%9C%EB%8B%AD-BRD_20171319
찐이야숯불두마리치킨,굿웰푸드(세븐치킨),2023,36850,207871,30,20,11,0,6,4년 6개월,https://jshj.net/brands/%EC%B0%90%EC%9D%B4%EC%95%BC%EC%88%AF%EB%B6%88%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20191275
오태식해바라기치킨,(주)서호에프앤비,2023,35150,0,87,57.47,11,0,50,5년 4개월,https://jshj.net/brands/%EC%98%A4%ED%83%9C%EC%8B%9D%ED%95%B4%EB%B0%94%EB%9D%BC%EA%B8%B0%EC%B9%98%ED%82%A8-BRD_20201202
청년치킨,(주)청년치킨,2023,57700,651270,32,3.13,5,1,0,4년 4개월,https://jshj.net/brands/%EC%B2%AD%EB%85%84%EC%B9%98%ED%82%A8-BRD_20200341
88켄터키치킨&떡볶이,(주)현인에프앤디,2024,32800,201848,47,10.64,6,1,4,10년 9개월,https://jshj.net/brands/88%EC%BC%84%ED%84%B0%ED%82%A4%EC%B9%98%ED%82%A8%EB%96%A1%EB%B3%B6%EC%9D%B4-BRD_20140759
홍희통닭,(주)참맛푸드,2023,45920,0,28,0,3,0,0,0년 0개월,https://jshj.net/brands/%ED%99%8D%ED%9D%AC%ED%86%B5%EB%8B%AD-BRD_20230282
노상치킨,그레이스티엔에프(주),2023,46100,36259,26,30.77,5,8,0,3년 11개월,https://jshj.net/brands/%EB%85%B8%EC%83%81%EC%B9%98%ED%82%A8-BRD_20200553
닭장수후라이드和,(주)주완푸드,2023,33420,294438,48,18.75,2,2,7,5년 10개월,https://jshj.net/brands/%EB%8B%AD%EC%9E%A5%EC%88%98%ED%9B%84%EB%9D%BC%EC%9D%B4%EB%93%9C%E5%92%8C-BRD_20180732
NAN갈비장터,(주)이임,2023,38950,0,0,,10,0,14,3년 2개월,https://jshj.net/brands/NAN%EA%B0%88%EB%B9%84%EC%9E%A5%ED%84%B0-BRD_20214635
양계장집아들,(주)양계장집아들,2023,64180,206088,51,13.73,3,0,7,8년 3개월,https://jshj.net/brands/%EC%96%91%EA%B3%84%EC%9E%A5%EC%A7%91%EC%95%84%EB%93%A4-BRD_20171499
닭강정공방,(주)제뉴인비스트로,2024,38850,178230,34,11.76,22,0,4,4년 6개월,https://jshj.net/brands/%EB%8B%AD%EA%B0%95%EC%A0%95%EA%B3%B5%EB%B0%A9-BRD_20201292
경아두마리치킨,(주)다시만난사람들,2023,28100,124546,60,26.67,5,0,16,19년 5개월,https://jshj.net/brands/%EA%B2%BD%EC%95%84%EB%91%90%EB%A7%88%EB%A6%AC%EC%B9%98%ED%82%A8-BRD_20090500007
추닭집,패밀리에프엔씨,2023,35760,161285,30,16.67,1,0,5,8년 1개월,https://jshj.net/brands/%EC%B6%94%EB%8B%AD%EC%A7%91-BRD_20180413
짱닭치킨,(주)푸드지니어스,2023,38015,347149,46,21.74,5,0,10,11년 9개월,https://jshj.net/brands/%EC%A7%B1%EB%8B%AD%EC%B9%98%ED%82%A8-BRD_20110100528
프랑킨 바베큐치킨,(주)더윈썸,2024,49116,233219,38,23.68,14,0,9,3년 6개월,https://jshj.net/brands/%ED%94%84%EB%9E%91%ED%82%A8%20%EB%B0%94%EB%B2%A0%ED%81%90%EC%B9%98%ED%82%A8-BRD_20211703
다가치통닭,(주)다가치,2023,41750,0,0,,5,0,9,4년 1개월,https://jshj.net/brands/%EB%8B%A4%EA%B0%80%EC%B9%98%ED%86%B5%EB%8B%AD-BRD_20200774
치킨뱅이,(주)인피트리,2023,25650,268757,42,16.67,0,0,7,22년 5개월,https://jshj.net/brands/%EC%B9%98%ED%82%A8%EB%B1%85%EC%9D%B4-BRD_20080100393
불아더 숯불바베큐,(주)맨즈키친,2023,48360,274083,14,7.14,10,0,1,3년 2개월,https://jshj.net/brands/%EB%B6%88%EC%95%84%EB%8D%94%20%EC%88%AF%EB%B6%88%EB%B0%94%EB%B2%A0%ED%81%90-BRD_20220745
철인7호,(주)철인에프앤비,2023,69650,185934,57,45.61,11,0,26,10년 7개월,https://jshj.net/brands/%EC%B2%A0%EC%9D%B87%ED%98%B8-BRD_20150477
한앤둘치킨,(주)더콥,2024,78011,157311,29,20.69,5,6,0,15년 6개월,https://jshj.net/brands/%ED%95%9C%EC%95%A4%EB%91%98%EC%B9%98%ED%82%A8-BRD_20090100577
감탄계숯불치킨,원앤원(주),2023,114418,495846,9,11.11,10,1,0,2년 4개월,https://jshj.net/brands/%EA%B0%90%ED%83%84%EA%B3%84%EC%88%AF%EB%B6%88%EC%B9%98%ED%82%A8-BRD_20201630
